Age,Total,Sick,Percentage
0,796,21,0.026381909547738693
1,505,32,0.06336633663366337
2,320,29,0.090625
3,258,37,0.1434108527131783
4,299,30,0.10033444816053512
5,262,30,0.11450381679389313
6,259,32,0.12355212355212356
7,227,37,0.16299559471365638
8,210,34,0.1619047619047619
9,213,33,0.15492957746478872
10,218,51,0.23394495412844038
11,206,38,0.18446601941747573
12,197,43,0.2182741116751269
13,200,51,0.255
14,216,49,0.22685185185185186
15,237,58,0.24472573839662448
16,227,66,0.2907488986784141
17,254,59,0.23228346456692914
18,259,67,0.25868725868725867
19,202,49,0.24257425742574257
20,234,73,0.31196581196581197
21,215,58,0.26976744186046514
22,219,58,0.2648401826484018
23,264,83,0.3143939393939394
24,238,75,0.31512605042016806
25,273,83,0.304029304029304
26,264,100,0.3787878787878788
27,254,59,0.23228346456692914
28,315,105,0.3333333333333333
29,319,106,0.3322884012539185
30,305,124,0.4065573770491803
31,291,123,0.422680412371134
32,303,113,0.37293729372937295
33,324,136,0.41975308641975306
34,298,124,0.4161073825503356
35,302,129,0.4271523178807947
36,322,143,0.4440993788819876
37,333,161,0.48348348348348347
38,350,173,0.4942857142857143
39,349,171,0.4899713467048711
40,349,190,0.5444126074498568
41,359,190,0.5292479108635098
42,356,196,0.550561797752809
43,375,220,0.5866666666666667
44,418,240,0.5741626794258373
45,449,257,0.5723830734966593
46,397,235,0.5919395465994962
47,457,288,0.6301969365426696
48,486,296,0.6090534979423868
49,482,327,0.6784232365145229
50,506,335,0.6620553359683794
51,529,369,0.6975425330812854
52,536,365,0.6809701492537313
53,497,359,0.7223340040241448
54,536,379,0.707089552238806
55,495,347,0.701010101010101
56,522,390,0.7471264367816092
57,466,330,0.7081545064377682
58,507,382,0.7534516765285996
59,465,360,0.7741935483870968
60,510,396,0.7764705882352941
61,511,408,0.7984344422700587
62,539,430,0.7977736549165121
63,477,400,0.8385744234800838
64,401,307,0.7655860349127181
65,463,377,0.8142548596112311
66,480,387,0.80625
67,464,364,0.7844827586206896
68,411,340,0.8272506082725061
69,410,334,0.8146341463414634
70,439,362,0.8246013667425968
71,430,372,0.8651162790697674
72,354,303,0.8559322033898306
73,399,330,0.8270676691729323
74,361,319,0.8836565096952909
75,352,293,0.8323863636363636
76,357,299,0.8375350140056023
77,368,312,0.8478260869565217
78,346,284,0.8208092485549133
79,356,290,0.8146067415730337
80,332,281,0.8463855421686747
81,311,265,0.8520900321543409
82,257,230,0.8949416342412452
83,234,195,0.8333333333333334
84,238,208,0.8739495798319328
85,206,174,0.8446601941747572
86,193,168,0.8704663212435233
87,175,148,0.8457142857142858
88,134,112,0.835820895522388
89,98,85,0.8673469387755102
90,88,74,0.8409090909090909
91,60,52,0.8666666666666667
92,42,38,0.9047619047619048
93,37,31,0.8378378378378378
94,22,18,0.8181818181818182
95,16,13,0.8125
96,13,12,0.9230769230769231
97,11,10,0.9090909090909091
98,6,5,0.8333333333333334
99,2,1,0.5
100,6,5,0.8333333333333334
